排名,模型名称,数据量,数据多样性,参数量,性能排名
1,gemma-2-2b-jpn-it,2,3,2610000000,1
2,flan-t5-xl,1,3,2850000000,5
3,gemma-2-2b,2,3,2610000000,7
4,flan-t5-large,2,3,1783000000,9
5,gemma-2b,2,3,2510000000,12
6,codegemma-1.1-2b,1,2,2510000000,16
7,recurrentgemma-2b,1,3,2680000000,17
8,google/flan-t5-base,0.7,3,248000000,25
9,google/flan-t5-small,0.7,3,77000000,28
10,microsoft/phi-2,1.4,3,2780000000,2
11,microsoft/phi-1_5,0.03,3,1420000000,15
12,microsoft/phi-1,0.054,2,1420000000,33
13,ibm-granite/granite-3.0-2b-base,8,3,2530000000,3
14,ibm-granite/granite-3.0-1b-a400m-base,8,3,380000000,29
15,Qwen/Qwen2.5-1.5B,18,3,1540000000,4
16,Qwen/Qwen2-1.5B,3,3,1540000000,6
17,Qwen/Qwen1.5-1.8B,3,3,1840000000,10
18,Qwen/Qwen2-0.5B,12,3,500000000,14
19,Qwen/owen2.5-0.5B,5.5,3,500000000,24
20,Qwen/Owen1.5-0.5B,3,2,500000000,43
21,HuggingFaceTB/SmolLM2-1.7B,11,3,1700000000,8
22,HuggingFaceTB/SmolLM-135M,0.25,3,135000000,18
23,HuggingFaceTB/SmolLM-360M,0.25,3,360000000,26
24,HuggingFaceTB/SmolLM2-360M,4,3,360000000,27
25,HuggingFaceTB/SmolLM2-135M,2,3,135000000,32
26,HuggingFaceTB/smolLM-1.7B,0.25,2,1700000000,38
27,openai-community/gpt2,4,3,117000000,19
28,openai-community/gpt2-medium,2,3,345000000,30
29,openai-community/gpt2-large,2,2,774000000,35
30,openai-community/gpt2-xl,2,1,500000000,46
31,EleutherAI/gpt-neo-2.7B,0.42,2,2700000000,22
32,EleutherAI/pythia-160m,0.3,2,160000000,31
33,EleutherAI/pythia-2.8b,0.3,1,2800000000,37
34,EleutherAI/gpt-neo-1.3B,0.38,1,1300000000,39
35,EleutherAI/pythia-410m,0.3,1,410000000,44
36,EleutherAI/gpt-neo-125m,0.3,1,125000000,48
37,stabilityai/stablelm-3b-4e1t,2,2,3000000000,13
38,stabilityai/stablelm-2-1_6b,1,1,640000000,41
39,princeton-nlp/sheared-LLaMA-2.7B,0.005,1,2700000000,23
40,princeton-nlp/sheared-LLaMA-1.3B,0.005,1,1300000000,34
41,tensoropera/Fox-1-1.6B,3,3,1600000000,11
42,allenai/0LMoE-1B-hf,3,3,1000000000,20
43,BEE-spoke-data/smol_llama-220M-GQA,0.002,2,1220000000,21
44,BEE-spoke-data/smol llama-101M-G0A,0.002,1,101000000,54
45,meta-llama/Llama-3.2-1B,0.1,1,1000000000,51
46,AMD-Llama-135m,0.67,1,135000000,42
47,MobileLLM-125M-HF,1,2,125000000,36
48,MicroLlama,0.05,1,305000000,45
49,TinyLlama_v1.1,0.5,1,100000000,47
50,1.5-Pints-16K-v0.1,0.057,1,570000000,49
51,1.5-Pints-2K-v0.1,0.057,1,600000000,56
52,TinyMistral-248M-v3,0.003,1,248000000,50
53,bloom-1b7,0.18,1,700000000,52
54,bloom-1b1,0.18,1,100000000,53
55,bloom-560m,0.16,1,560000000,57
56,distilgpt2,0.001,1,82000000,55
57,InstructLM-500M,0.1,1,500000000,58
58,opt-1.3b,0.18,2,1300000000,40
