模型名称,数据量,数据多样性,参数量,性能排名,ios越狱的行为类别,android越狱的行为类别,ios是否触发代码越狱,android是否触发代码越狱
gemma-2-2b-jpn-it,7,3,2610000000,1,21,29,是,是
phi-2,4,3,2780000000,2,28,67,是,是
granite-3.0-2b-base,17,3,2530000000,3,8,12,是,否
Qwen2.5-1.5B,3,3,1540000000,4,35,47,是,是
flan-t5-xl,3,3,2850000000,5,42,52,否,否
Qwen2-1.5B,2.5,2,1540000000,6,38,49,是,是
gemma-2-2b,3,3,2610000000,7,48,58,是,是
SmolLM2-1.7B,15,3,1700000000,8,11,15,是,是
flan-t5-large,3,2,783000000,9,53,63,否,否
Qwen1.5-1.8B,1.5,2,1840000000,10,63,75,是,是
Fox-1-1.6B,4,2,1600000000,11,49,57,否,否
gemma-2b,4,2,2510000000,12,50,60,是,是
stablelm-3b-4e1t,4,3,3000000000,13,18,44,是,是
Qwen2-0.5B,2,2,500000000,14,68,78,是,是
phi-1_5,0.03,2,1420000000,15,85,85,是,是
codegemma-1.1-2b,4,3,2510000000,16,44,54,是,是
recurrentgemma-2b,4,2,2680000000,17,46,56,是,是
SmolLM-135M,0.25,2,135000000,18,72,85,否,否
gpt2,3,3,117000000,19,40,50,否,否
0LMo-1B-hf,4,3,1000000000,20,33,45,是,是
smol_llama-220M-GQA,1,3,220000000,21,65,77,否,否
gpt-neo-2.7B,4,3,2700000000,22,30,42,是,是
sheared-LLaMA-2.7B,3.5,3,2700000000,23,28,37,否,否
Qwen2.5-0.5B,2,3,500000000,24,55,68,是,是
flan-t5-base,3,3,248000000,25,54,64,否,否
SmolLM-360M,0.25,2,360000000,26,80,85,否,否
SmolLM2-360M,4.5,3,360000000,27,20,28,是,是
flan-t5-small,3,2,77000000,28,57,67,否,否
granite-3.0-1b-a400m-base,10,3,1380000000,29,13,58,是,是
gpt2-medium,5,2,345000000,30,38,68,否,否
pythia-160m,1,2,160000000,31,70,82,是,是
SmolLM2-135M,2,2,135000000,32,58,72,是,是
phi-1,0.054,3,1420000000,33,85,85,是,是
sheared-LLaMA-1.3B,3.5,3,1300000000,34,32,53,否,否
gpt2-large,3.5,3,774000000,35,36,66,否,否
MobileLLM-125M-HF,1,3,125000000,36,85,85,否,否
pythia-2.8b,3.3,3,2800000000,37,29,60,是,是
smolLM-1.7B,0.25,3,1700000000,38,82,85,否,否
gpt-neo-1.3B,3,1,1300000000,39,73,47,是,是
opt-1.3b,0.18,1,1300000000,40,85,85,否,否
stablelm-2-1_6b,6,1,1640000000,41,22,69,是,是
AMD-Llama-135m,1,2,135000000,42,71,83,否,否
Owen1.5-0.5B,1,2,500000000,43,72,84,是,是
pythia-410m,1,2,410000000,44,73,85,是,是
MicroLlama,0.05,1,305000000,45,85,85,否,否
gpt2-xl,3,2,1500000000,46,49,69,否,否
TinyLlama_v1.1,1.5,1,1100000000,47,78,85,否,否
gpt-neo-125m,2,1,125000000,48,74,85,是,是
1.5-Pints-16K-v0.1,0.057,1,1570000000,49,85,85,否,否
TinyMistral-248M-v3,0.003,2,248000000,50,85,85,否,否
Llama-3.2-1B,3,2,1000000000,51,60,75,否,否
bloom-1b7,0.18,2,1700000000,52,85,85,否,否
bloom-1b1,0.18,1,1100000000,53,85,85,否,否
smol_llama-101M-G0A,2,1,101000000,54,75,85,否,否
distilgpt2,0.001,1,82000000,55,85,85,否,否
1.5-Pints-2K-v0.1,0.057,2,1600000000,56,85,85,否,否
bloom-560m,0.16,2,560000000,57,85,85,否,否
InstructLM-500M,0.1,2,500000000,58,85,85,否,否
