模型名称+A1:G51,性能排名,android噪声字符类别,android噪声文本长度,android噪声攻击轮次,android幻觉文本生成框架的组合数量,android幻觉的攻击轮次
gemma-2-2b-jpn-it,1,4,200,15,3,14
phi-2,2,3,200,12,3,11
granite-3.0-2b-base,3,5,200,18,3,17
Qwen2.5-1.5B,4,2,180,10,3,9
flan-t5-xl,5,3,200,12,3,10
Qwen2-1.5B,6,2,170,9,3,8
gemma-2-2b,7,3,180,10,1,6
SmolLM2-1.7B,8,4,200,14,3,13
flan-t5-large,9,1,150,6,1,4
Qwen1.5-1.8B,10,2,130,7,2,5
Fox-1-1.6B,11,2,160,8,2,5
gemma-2b,12,3,180,10,1,7
stablelm-3b-4e1t,13,4,200,15,3,14
Qwen2-0.5B,14,1,120,5,2,3
phi-1_5,15,2,100,4,1,2
codegemma-1.1-2b,16,3,170,9,2,6
recurrentgemma-2b,17,3,180,10,1,7
SmolLM-135M,18,1,100,3,2,4
gpt2,19,2,120,6,2,5
0LMo-1B-hf,20,2,140,7,2,6
smol_llama-220M-GQA,21,2,90,2,1,1
gpt-neo-2.7B,22,3,190,13,3,12
sheared-LLaMA-2.7B,23,4,200,14,3,13
Qwen2.5-0.5B,24,2,110,6,2,4
flan-t5-base,25,1,90,4,1,3
SmolLM-360M,26,2,110,7,2,4
SmolLM2-360M,27,3,130,9,2,6
flan-t5-small,28,1,70,3,1,1
granite-3.0-1b-a400m-base,29,5,200,16,3,15
gpt2-medium,30,3,130,8,2,7
pythia-160m,31,1,60,2,1,1
SmolLM2-135M,32,2,90,5,1,3
phi-1,33,1,90,4,1,2
sheared-LLaMA-1.3B,34,3,150,10,2,8
gpt2-large,35,3,160,11,2,9
MobileLLM-125M-HF,36,1,50,1,1,1
pythia-2.8b,37,4,200,15,3,14
smolLM-1.7B,38,3,170,11,2,9
gpt-neo-1.3B,39,3,160,10,2,8
opt-1.3b,40,2,140,7,1,5
stablelm-2-1_6b,41,4,180,12,3,11
AMD-Llama-135m,42,1,80,2,1,1
Owen1.5-0.5B,43,1,90,4,1,2
pythia-410m,44,2,100,5,1,3
MicroLlama,45,1,60,1,1,1
gpt2-xl,46,4,180,13,3,12
TinyLlama_v1.1,47,1,110,6,1,4
gpt-neo-125m,48,1,50,1,1,1
1.5-Pints-16K-v0.1,49,3,140,9,2,7
TinyMistral-248M-v3,50,1,50,1,1,1
Llama-3.2-1B,51,2,120,7,1,5
bloom-1b7,52,2,100,6,1,4
bloom-1b1,53,2,90,5,1,3
smol_llama-101M-G0A,54,1,50,2,1,1
distilgpt2,55,1,40,1,1,1
1.5-Pints-2K-v0.1,56,3,160,11,2,8
bloom-560m,57,1,80,3,1,2
InstructLM-500M,58,2,70,4,1,3
