模型名称,性能排名,ios噪声字符类别,ios噪声文本长度,ios噪声攻击轮次,ios幻觉文本生成框架的组合数量,ios幻觉的攻击轮次
gemma-2-2b-jpn-it,1,6,200,18,4,18
phi-2,2,5,190,18,4,18
granite-3.0-2b-base,3,5,200,18,4,17
Qwen2.5-1.5B,4,5,160,16,4,14
flan-t5-xl,5,5,180,14,3,15
Qwen2-1.5B,6,4,150,14,3,17
gemma-2-2b,7,4,170,13,3,15
SmolLM2-1.7B,8,5,160,16,4,16
flan-t5-large,9,4,150,12,3,12
Qwen1.5-1.8B,10,4,140,12,3,13
Fox-1-1.6B,11,4,140,10,3,11
gemma-2b,12,4,160,12,3,13
stablelm-3b-4e1t,13,4,160,15,4,13
Qwen2-0.5B,14,3,150,10,3,11
phi-1_5,15,1,140,5,1,5
codegemma-1.1-2b,16,4,150,11,3,13
recurrentgemma-2b,17,4,160,12,3,11
SmolLM-135M,18,3,140,9,3,9
gpt2,19,3,130,10,3,10
0LMo-1B-hf,20,3,130,11,3,8
smol_llama-220M-GQA,21,3,70,3,1,3
gpt-neo-2.7B,22,4,140,11,3,13
sheared-LLaMA-2.7B,23,4,130,12,3,10
Qwen2.5-0.5B,24,3,120,8,2,9
flan-t5-base,25,3,80,4,1,5
SmolLM-360M,26,3,110,8,2,7
SmolLM2-360M,27,3,110,7,3,9
flan-t5-small,28,1,60,3,1,3
granite-3.0-1b-a400m-base,29,5,190,17,4,18
gpt2-medium,30,3,110,7,3,8
pythia-160m,31,2,100,6,1,3
SmolLM2-135M,32,2,120,8,2,7
phi-1,33,2,80,6,2,6
sheared-LLaMA-1.3B,34,3,100,9,3,10
gpt2-large,35,3,140,10,3,11
MobileLLM-125M-HF,36,2,110,6,2,7
pythia-2.8b,37,4,190,16,4,13
smolLM-1.7B,38,3,120,11,3,9
gpt-neo-1.3B,39,3,120,10,3,10
opt-1.3b,40,3,110,8,2,7
stablelm-2-1_6b,41,3,110,9,3,9
AMD-Llama-135m,42,2,80,4,2,7
Owen1.5-0.5B,43,2,80,4,2,4
pythia-410m,44,2,90,5,2,5
MicroLlama,45,2,90,5,2,4
gpt2-xl,46,3,130,9,3,11
TinyLlama_v1.1,47,2,100,6,1,6
gpt-neo-125m,48,1,40,4,1,1
1.5-Pints-16K-v0.1,49,3,130,9,3,9
TinyMistral-248M-v3,50,2,70,5,2,4
Llama-3.2-1B,51,2,110,7,2,7
bloom-1b7,52,2,90,6,2,8
bloom-1b1,53,2,80,4,2,6
smol_llama-101M-G0A,54,1,80,5,1,2
distilgpt2,55,1,80,7,1,1
1.5-Pints-2K-v0.1,56,2,90,13,3,10
bloom-560m,57,2,70,3,1,3
InstructLM-500M,58,2,60,3,1,5
